@RELATION wada

@ATTRIBUTE mean_x numeric
@ATTRIBUTE std_x numeric
@ATTRIBUTE mean_y numeric
@ATTRIBUTE std_y numeric
@ATTRIBUTE mean_z numeric
@ATTRIBUTE std_z numeric
@ATTRIBUTE Activity {hand_wash}

@DATA
2.75282719137931,1.1684781672305375,-7.999757522413794,1.2123039455260698,1.7447304363793104,3.194233823328531,hand_wash
3.8736951019801973,3.122338849105383,-8.53273137326733,2.8726087018757225,-2.6187997443564357,4.3599843736136235,hand_wash
3.4296205523960395,3.448287189045261,-4.511303869306931,5.967912037716739,4.253282001980198,6.374169006148217,hand_wash
3.902273443431373,3.7539251529882076,-4.868839957509803,6.467938011186695,4.992840856666667,5.221559510774118,hand_wash
3.635580364851485,3.8599005718134394,-3.7276937370495045,5.9001709775262645,3.876007192356436,7.246261335289265,hand_wash
4.532806987572815,3.075473488992728,-4.311174655825242,6.466262716071262,5.412465102912621,4.251029442136505,hand_wash
4.198517123909999,2.8386770791138387,-6.758349930870001,4.39043681253617,0.8306646121569998,6.040185594083068,hand_wash
4.228853063470589,3.3816380650148847,-2.551928543627451,6.718241260933278,6.413298747058823,5.49740813522766,hand_wash
3.4485317004227714,2.7500630455601836,-2.5086999689732665,5.012979628815885,6.6738997670297024,3.3262921036489685,hand_wash
0.37005495678775513,0.30465216946954254,3.0613481795918367,0.28158473665248435,8.856660034693878,0.4592663178519589,hand_wash
